name,brand,price,skinType,benefit,ingredients,warnings,image,rating
어성초 진정 클렌징폼,라운드랩,15000,sensitive,진정 클렌징,어성초 추출물 판테놀,,https://via.placeholder.com/300?text=Roundlab,4.7
모공 클렌징 오일,마녀공장,18000,oily,모공 케어,살리실산 나이아신아마이드,alcohol,https://via.placeholder.com/300?text=Witch,4.5
히알루론산 세럼,코스알엑스,12000,dry,수분 공급,히알루론산 세라마이드,,https://via.placeholder.com/300?text=Cos,4.8
약산성 클렌징폼,세타필,13000,sensitive,저자극 세안,글리세린 판테놀,,https://via.placeholder.com/300?text=Cetaphil,4.6
티트리 토너,에뛰드하우스,8000,oily,피지 조절,티트리 추출물 살리실산,fragrance,https://via.placeholder.com/300?text=Etude,4.3
콜라겐 마스크,라네즈,16000,dry,영양 보습,콜라겐 판테놀,,https://via.placeholder.com/300?text=Laneige,4.9
비타민 부스터,더페이셜샵,11000,combination,피부 톤업,비타민C 글리세린,,https://via.placeholder.com/300?text=FacialShop,4.4
세라마이드 크림,아비노,14000,dry,강력 보습,세라마이드 판테놀,,https://via.placeholder.com/300?text=Aveeno,4.7
녹차 에센스,에뛰드하우스,9000,oily,피지 조절,녹차 추출물 나이아신아마이드,,https://via.placeholder.com/300?text=Etude2,4.5
고보 에센스,우디어,12500,sensitive,진정 강화,고보 추출물 글리세린,,https://via.placeholder.com/300?text=Wooyoung,4.6
프로바이오틱 토너,라이프펙토리,13000,sensitive,피부 균형,프로바이오틱 판테놀,,https://via.placeholder.com/300?text=LifeFactory,4.8
판테놀 앰플,더페이셜샵,7500,combination,수분 진정,판테놀 글리세린,,https://via.placeholder.com/300?text=FacialShop2,4.3
나이아신아마이드 에센스,아더러블,10000,oily,피부 개선,나이아신아마이드 살리실산,,https://via.placeholder.com/300?text=AnotherLuv,4.4
스쿠알란 오일,저니,11000,dry,유분 공급,스쿠알란 비타민E,,https://via.placeholder.com/300?text=Journey,4.6
알로에 겔,에뛰드하우스,6000,sensitive,시진 보습,알로에 추출물 글리세린,,https://via.placeholder.com/300?text=Etude3,4.2
샐리실산 토너,더페이셜샵,9500,oily,각질 제거,샐리실산 글리세린,alcohol,https://via.placeholder.com/300?text=FacialShop3,4.5
프로비타민 B5 세럼,라네즈,15000,combination,영양 강화,프로비타민 B5 글리세린,,https://via.placeholder.com/300?text=Laneige2,4.7
폴라녹스 에센스,뮤라드,17000,sensitive,항산화 진정,폴라녹스 판테놀,,https://via.placeholder.com/300?text=Murad,4.8
하이드로 스킬 토너,바이오더마,10500,oily,피부 진정,하이드로 성분 나이아신아마이드,,https://via.placeholder.com/300?text=Bioderma,4.4
시카페어 크림,심페어,12000,sensitive,자극 완화,센텔라 아시아티카 판테놀,,https://via.placeholder.com/300?text=Simpair,4.6
